State,Race,Table Names,Year,Population
NM,American Indian/Alaska Native,PopByRace2016.csv,2016,174600
NM,Asian,PopByRace2016.csv,2016,30200
NM,Black,PopByRace2016.csv,2016,33400
NM,Hispanic,PopByRace2016.csv,2016,986700
NM,Multiple Races,PopByRace2016.csv,2016,33500
NM,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
NM,Total,PopByRace2016.csv,2016,2029400
NM,White,PopByRace2016.csv,2016,769600
NY,American Indian/Alaska Native,PopByRace2016.csv,2016,38800
NY,Asian,PopByRace2016.csv,2016,1627800
NY,Black,PopByRace2016.csv,2016,2727900
NY,Hispanic,PopByRace2016.csv,2016,3665200
NY,Multiple Races,PopByRace2016.csv,2016,471300
NY,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,6800
NY,Total,PopByRace2016.csv,2016,19221500
NY,White,PopByRace2016.csv,2016,10683700
NC,American Indian/Alaska Native,PopByRace2016.csv,2016,103800
NC,Asian,PopByRace2016.csv,2016,267100
NC,Black,PopByRace2016.csv,2016,2069000
NC,Hispanic,PopByRace2016.csv,2016,905300
NC,Multiple Races,PopByRace2016.csv,2016,223800
NC,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,5500
NC,Total,PopByRace2016.csv,2016,9829900
NC,White,PopByRace2016.csv,2016,6255500
ND,American Indian/Alaska Native,PopByRace2016.csv,2016,41400
ND,Asian,PopByRace2016.csv,2016,5900
ND,Black,PopByRace2016.csv,2016,18600
ND,Hispanic,PopByRace2016.csv,2016,22500
ND,Multiple Races,PopByRace2016.csv,2016,17100
ND,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
ND,Total,PopByRace2016.csv,2016,725900
ND,White,PopByRace2016.csv,2016,619700
OH,American Indian/Alaska Native,PopByRace2016.csv,2016,13100
OH,Asian,PopByRace2016.csv,2016,225000
OH,Black,PopByRace2016.csv,2016,1365400
OH,Hispanic,PopByRace2016.csv,2016,402900
OH,Multiple Races,PopByRace2016.csv,2016,293300
OH,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,3200
OH,Total,PopByRace2016.csv,2016,11278700
OH,White,PopByRace2016.csv,2016,8975800
OK,American Indian/Alaska Native,PopByRace2016.csv,2016,275300
OK,Asian,PopByRace2016.csv,2016,71800
OK,Black,PopByRace2016.csv,2016,260900
OK,Hispanic,PopByRace2016.csv,2016,391400
OK,Multiple Races,PopByRace2016.csv,2016,273800
OK,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,7200
OK,Total,PopByRace2016.csv,2016,3800800
OK,White,PopByRace2016.csv,2016,2520400
OR,American Indian/Alaska Native,PopByRace2016.csv,2016,37900
OR,Asian,PopByRace2016.csv,2016,168000
OR,Black,PopByRace2016.csv,2016,69800
OR,Hispanic,PopByRace2016.csv,2016,510400
OR,Multiple Races,PopByRace2016.csv,2016,149600
OR,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,14500
OR,Total,PopByRace2016.csv,2016,4014500
OR,White,PopByRace2016.csv,2016,3064300
PA,American Indian/Alaska Native,PopByRace2016.csv,2016,16600
PA,Asian,PopByRace2016.csv,2016,404100
PA,Black,PopByRace2016.csv,2016,1272900
PA,Hispanic,PopByRace2016.csv,2016,866000
PA,Multiple Races,PopByRace2016.csv,2016,248000
PA,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,3300
PA,Total,PopByRace2016.csv,2016,12364700
PA,White,PopByRace2016.csv,2016,9553800
RI,American Indian/Alaska Native,PopByRace2016.csv,2016,2600
RI,Asian,PopByRace2016.csv,2016,33500
RI,Black,PopByRace2016.csv,2016,56600
RI,Hispanic,PopByRace2016.csv,2016,153300
RI,Multiple Races,PopByRace2016.csv,2016,28700
RI,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
RI,Total,PopByRace2016.csv,2016,1013900
RI,White,PopByRace2016.csv,2016,737600
SC,American Indian/Alaska Native,PopByRace2016.csv,2016,12000
SC,Asian,PopByRace2016.csv,2016,73100
SC,Black,PopByRace2016.csv,2016,1280800
SC,Hispanic,PopByRace2016.csv,2016,263400
SC,Multiple Races,PopByRace2016.csv,2016,98300
SC,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
SC,Total,PopByRace2016.csv,2016,4805300
SC,White,PopByRace2016.csv,2016,3075500
SD,American Indian/Alaska Native,PopByRace2016.csv,2016,72900
SD,Asian,PopByRace2016.csv,2016,12500
SD,Black,PopByRace2016.csv,2016,11200
SD,Hispanic,PopByRace2016.csv,2016,30700
SD,Multiple Races,PopByRace2016.csv,2016,17000
SD,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
SD,Total,PopByRace2016.csv,2016,835800
SD,White,PopByRace2016.csv,2016,691500
TN,American Indian/Alaska Native,PopByRace2016.csv,2016,14300
TN,Asian,PopByRace2016.csv,2016,114200
TN,Black,PopByRace2016.csv,2016,1058900
TN,Hispanic,PopByRace2016.csv,2016,338100
TN,Multiple Races,PopByRace2016.csv,2016,124000
TN,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
TN,Total,PopByRace2016.csv,2016,6467700
TN,White,PopByRace2016.csv,2016,4814000
TX,American Indian/Alaska Native,PopByRace2016.csv,2016,64000
TX,Asian,PopByRace2016.csv,2016,1264500
TX,Black,PopByRace2016.csv,2016,3124600
TX,Hispanic,PopByRace2016.csv,2016,10671100
TX,Multiple Races,PopByRace2016.csv,2016,481600
TX,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,17100
TX,Total,PopByRace2016.csv,2016,27178300
TX,White,PopByRace2016.csv,2016,11555500
UT,American Indian/Alaska Native,PopByRace2016.csv,2016,22800
UT,Asian,PopByRace2016.csv,2016,70500
UT,Black,PopByRace2016.csv,2016,29400
UT,Hispanic,PopByRace2016.csv,2016,413000
UT,Multiple Races,PopByRace2016.csv,2016,73200
UT,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,28400
UT,Total,PopByRace2016.csv,2016,2999300
UT,White,PopByRace2016.csv,2016,2361900
VT,American Indian/Alaska Native,PopByRace2016.csv,2016,2900
VT,Asian,PopByRace2016.csv,2016,6400
VT,Black,PopByRace2016.csv,2016,5000
VT,Hispanic,PopByRace2016.csv,2016,11100
VT,Multiple Races,PopByRace2016.csv,2016,13600
VT,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
VT,Total,PopByRace2016.csv,2016,599600
VT,White,PopByRace2016.csv,2016,560600
VA,American Indian/Alaska Native,PopByRace2016.csv,2016,17600
VA,Asian,PopByRace2016.csv,2016,519200
VA,Black,PopByRace2016.csv,2016,1495100
VA,Hispanic,PopByRace2016.csv,2016,732600
VA,Multiple Races,PopByRace2016.csv,2016,275100
VA,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,5500
VA,Total,PopByRace2016.csv,2016,8080900
VA,White,PopByRace2016.csv,2016,5035700
WA,American Indian/Alaska Native,PopByRace2016.csv,2016,77300
WA,Asian,PopByRace2016.csv,2016,577700
WA,Black,PopByRace2016.csv,2016,244000
WA,Hispanic,PopByRace2016.csv,2016,885900
WA,Multiple Races,PopByRace2016.csv,2016,345500
WA,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,44800
WA,Total,PopByRace2016.csv,2016,7124100
WA,White,PopByRace2016.csv,2016,4949000
WV,American Indian/Alaska Native,PopByRace2016.csv,2016,2400
WV,Asian,PopByRace2016.csv,2016,13600
WV,Black,PopByRace2016.csv,2016,61100
WV,Hispanic,PopByRace2016.csv,2016,24300
WV,Multiple Races,PopByRace2016.csv,2016,33000
WV,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
WV,Total,PopByRace2016.csv,2016,1781700
WV,White,PopByRace2016.csv,2016,1646900
WI,American Indian/Alaska Native,PopByRace2016.csv,2016,45800
WI,Asian,PopByRace2016.csv,2016,154200
WI,Black,PopByRace2016.csv,2016,334800
WI,Hispanic,PopByRace2016.csv,2016,375000
WI,Multiple Races,PopByRace2016.csv,2016,107000
WI,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
WI,Total,PopByRace2016.csv,2016,5623300
WI,White,PopByRace2016.csv,2016,4605200
WY,American Indian/Alaska Native,PopByRace2016.csv,2016,12800
WY,Asian,PopByRace2016.csv,2016,5200
WY,Black,PopByRace2016.csv,2016,4000
WY,Hispanic,PopByRace2016.csv,2016,54700
WY,Multiple Races,PopByRace2016.csv,2016,9900
WY,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
WY,Total,PopByRace2016.csv,2016,569400
WY,White,PopByRace2016.csv,2016,482500
AL,American Indian/Alaska Native,PopByRace2015.csv,2015,16300
AL,Asian,PopByRace2015.csv,2015,55300
AL,Black,PopByRace2015.csv,2015,1251500
AL,Hispanic,PopByRace2015.csv,2015,188000
AL,Multiple Races,PopByRace2015.csv,2015,86500
AL,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,
AL,Total,PopByRace2015.csv,2015,4730100
AL,White,PopByRace2015.csv,2015,3131400
AK,American Indian/Alaska Native,PopByRace2015.csv,2015,98700
AK,Asian,PopByRace2015.csv,2015,49000
AK,Black,PopByRace2015.csv,2015,22900
AK,Hispanic,PopByRace2015.csv,2015,47600
AK,Multiple Races,PopByRace2015.csv,2015,51000
AK,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,2800
AK,Total,PopByRace2015.csv,2015,707500
AK,White,PopByRace2015.csv,2015,435400
AZ,American Indian/Alaska Native,PopByRace2015.csv,2015,270800
AZ,Asian,PopByRace2015.csv,2015,207300
AZ,Black,PopByRace2015.csv,2015,264200
AZ,Hispanic,PopByRace2015.csv,2015,2045900
AZ,Multiple Races,PopByRace2015.csv,2015,143100
AZ,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,8900
AZ,Total,PopByRace2015.csv,2015,6655100
AZ,White,PopByRace2015.csv,2015,3714900
AR,American Indian/Alaska Native,PopByRace2015.csv,2015,18000
AR,Asian,PopByRace2015.csv,2015,39000
AR,Black,PopByRace2015.csv,2015,446400
AR,Hispanic,PopByRace2015.csv,2015,204300
AR,Multiple Races,PopByRace2015.csv,2015,62600
AR,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,6100
AR,Total,PopByRace2015.csv,2015,2882300
AR,White,PopByRace2015.csv,2015,2106000
CA,American Indian/Alaska Native,PopByRace2015.csv,2015,130000
CA,Asian,PopByRace2015.csv,2015,5405400
CA,Black,PopByRace2015.csv,2015,2084000
CA,Hispanic,PopByRace2015.csv,2015,14903200
CA,Multiple Races,PopByRace2015.csv,2015,1161000
CA,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,138000
CA,Total,PopByRace2015.csv,2015,38325100
CA,White,PopByRace2015.csv,2015,14503600
CO,American Indian/Alaska Native,PopByRace2015.csv,2015,25300
CO,Asian,PopByRace2015.csv,2015,160200
CO,Black,PopByRace2015.csv,2015,204900
CO,Hispanic,PopByRace2015.csv,2015,1137200
CO,Multiple Races,PopByRace2015.csv,2015,133600
CO,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,7500
CO,Total,PopByRace2015.csv,2015,5315400
CO,White,PopByRace2015.csv,2015,3646600
CT,American Indian/Alaska Native,PopByRace2015.csv,2015,3700
CT,Asian,PopByRace2015.csv,2015,149000
CT,Black,PopByRace2015.csv,2015,342500
CT,Hispanic,PopByRace2015.csv,2015,540400
CT,Multiple Races,PopByRace2015.csv,2015,75600
CT,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,
CT,Total,PopByRace2015.csv,2015,3478100
CT,White,PopByRace2015.csv,2015,2366300
DE,American Indian/Alaska Native,PopByRace2015.csv,2015,2200
DE,Asian,PopByRace2015.csv,2015,36000
DE,Black,PopByRace2015.csv,2015,191900
DE,Hispanic,PopByRace2015.csv,2015,83300
DE,Multiple Races,PopByRace2015.csv,2015,23900
DE,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,
DE,Total,PopByRace2015.csv,2015,918300
DE,White,PopByRace2015.csv,2015,580400
FL,American Indian/Alaska Native,PopByRace2015.csv,2015,31100
FL,Asian,PopByRace2015.csv,2015,524600
FL,Black,PopByRace2015.csv,2015,3027300
FL,Hispanic,PopByRace2015.csv,2015,4883700
FL,Multiple Races,PopByRace2015.csv,2015,402700
FL,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,8600
FL,Total,PopByRace2015.csv,2015,19812500
FL,White,PopByRace2015.csv,2015,10934500
GA,American Indian/Alaska Native,PopByRace2015.csv,2015,16100
GA,Asian,PopByRace2015.csv,2015,374700
GA,Black,PopByRace2015.csv,2015,3039500
GA,Hispanic,PopByRace2015.csv,2015,922200
GA,Multiple Races,PopByRace2015.csv,2015,207700
GA,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,
GA,Total,PopByRace2015.csv,2015,9909700
GA,White,PopByRace2015.csv,2015,5346500
HI,American Indian/Alaska Native,PopByRace2015.csv,2015,1700
HI,Asian,PopByRace2015.csv,2015,502600
HI,Black,PopByRace2015.csv,2015,19700
HI,Hispanic,PopByRace2015.csv,2015,137100
HI,Multiple Races,PopByRace2015.csv,2015,288500
HI,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,117400
HI,Total,PopByRace2015.csv,2015,1362600
HI,White,PopByRace2015.csv,2015,295700
ID,American Indian/Alaska Native,PopByRace2015.csv,2015,18000
ID,Asian,PopByRace2015.csv,2015,18200
ID,Black,PopByRace2015.csv,2015,9100
ID,Hispanic,PopByRace2015.csv,2015,192800
ID,Multiple Races,PopByRace2015.csv,2015,38200
ID,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,
ID,Total,PopByRace2015.csv,2015,1617200
ID,White,PopByRace2015.csv,2015,1339100
IL,American Indian/Alaska Native,PopByRace2015.csv,2015,13300
IL,Asian,PopByRace2015.csv,2015,653200
IL,Black,PopByRace2015.csv,2015,1739800
IL,Hispanic,PopByRace2015.csv,2015,2134700
IL,Multiple Races,PopByRace2015.csv,2015,234900
IL,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,3100
IL,Total,PopByRace2015.csv,2015,12549700
IL,White,PopByRace2015.csv,2015,7770700
IN,American Indian/Alaska Native,PopByRace2015.csv,2015,13000
IN,Asian,PopByRace2015.csv,2015,130600
IN,Black,PopByRace2015.csv,2015,575400
IN,Hispanic,PopByRace2015.csv,2015,424500
IN,Multiple Races,PopByRace2015.csv,2015,128500
IN,Native Hawaiian/Other Pacific Islander,PopByRace2015.csv,2015,
IN,Total,PopByRace2015.csv,2015,6415100
IN,White,PopByRace2015.csv,2015,5141100
